,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
12490,12491,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",Less than 1 year,,,,,,,,,,,,,,,,,,,,,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",Yes,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
12618,12619,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",Less than 1 year,,,,,,,,,,,,,Laravel,,Flutter,Flutter,,,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,Under 18 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
12733,12734,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):;Colleague",4,1,"Developer, mobile",20 to 99 employees,IDR	Indonesian rupiah,,Monthly,C#;PHP,C#,MySQL;Oracle;SQLite,SQLite,,,,,,,,,,,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Multiple times per day,No,,"Yes, somewhat",No,18-24 years old,Woman,No,Straight / Heterosexual,Southeast Asian;East Asian,None of the above,I have an anxiety disorder,Too long,Neither easy nor difficult,
13047,13048,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",1,,,,,,,C;C++;HTML/CSS;Java;JavaScript;Node.js;TypeScript,Assembly,MongoDB;MySQL;SQLite,,,,Django;Flask;React.js,Angular;Ruby on Rails,,,Git;Yarn,Docker,Android Studio;Sublime Text;Visual Studio Code,Android Studio,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
13064,13065,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",,,,,,,,HTML/CSS;JavaScript;Node.js,Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript,MongoDB,Firebase;MongoDB;PostgreSQL,DigitalOcean;Heroku,AWS;Google Cloud Platform,Express;Gatsby;React.js,Express;React.js,NumPy;Pandas,Keras;NumPy;Pandas;React Native;TensorFlow;Torch/PyTorch,Git;Yarn,Docker;Git;Kubernetes;Yarn,IPython/Jupyter;Visual Studio Code,IPython/Jupyter;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
13262,13263,I am a developer by profession,Employed full-time,Indonesia,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,Colleague,9,5,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Student;Engineer, site reliability","10,000 or more employees",IDR	Indonesian rupiah,,,Java;JavaScript;Kotlin;Node.js;PHP;Python;R;SQL;Swift;TypeScript,Go;Java;JavaScript;Node.js;Objective-C;PHP;R;SQL;Swift;TypeScript,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,,,Laravel;Vue.js,Angular.js;React.js;Vue.js,,,Docker;Flow;Git,Docker;Flow;Git;Yarn,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;PyCharm;RStudio;Sublime Text;Webstorm,Eclipse;IntelliJ;NetBeans;Notepad++;Sublime Text;Webstorm;Xcode,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
13561,13562,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",6,,,,,,,C;C++;HTML/CSS;Java;PHP;Python,Java;JavaScript;Node.js,MySQL;SQLite,Firebase;MongoDB;MySQL,,,jQuery,Express;React.js,NumPy;Pandas,,Git,Docker,Android Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code,Windows,Google it;Do other work and come back later;Panic,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"No, not at all",No,18-24 years old,Prefer not to say,No,Prefer not to say,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
13608,13609,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Books / Physical media",4,,,,,,,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Python;SQL,MySQL;SQLite,Microsoft SQL Server;MySQL;PostgreSQL,,,jQuery,,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,,,Android Studio;IPython/Jupyter;NetBeans;Sublime Text;Visual Studio Code,IPython/Jupyter;Visual Studio Code,Windows,Google it;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,Gay or Lesbian,Southeast Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,
13622,13623,I code primarily as a hobby,"Not employed, but looking for work",Indonesia,,,Something else,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",5,,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;System administrator",,,,,C#;Dart;HTML/CSS;JavaScript,C#;Dart;HTML/CSS;TypeScript,MySQL;PostgreSQL;SQLite,PostgreSQL;SQLite,,,Angular;ASP.NET Core ;Laravel;React.js,ASP.NET Core ;React.js,.NET Core / .NET 5;Flutter,.NET Core / .NET 5;Flutter,Git;Xamarin,Git,Visual Studio;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
13699,13700,I am a developer by profession,"Student, part-time",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Other (please specify):;Colleague;Books / Physical media",5,,,,,,,C#;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;VBA,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;SQL;Swift;TypeScript,Firebase;MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,DigitalOcean;Google Cloud Platform;Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku,jQuery;Laravel;Symfony;Vue.js,Express;FastAPI;Flask;Gatsby;jQuery;Laravel;React.js;Symfony;Vue.js,TensorFlow,Flutter,Docker;Git;Unity 3D;Unreal Engine;Yarn,Docker;Git;Kubernetes,Android Studio;Eclipse;IntelliJ;NetBeans;Notepad++;PHPStorm;PyCharm,Android Studio;IntelliJ;PHPStorm;PyCharm;Xcode,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
13753,13754,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",1,Less than 1 year,System administrator,100 to 499 employees,IDR	Indonesian rupiah,,Monthly,Bash/Shell,Bash/Shell;PowerShell;Python,,,,,,,,,,,Neovim,Neovim,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
13844,13845,I am a developer by profession,Employed part-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",4,2,Data scientist or machine learning specialist;Data or business analyst,"1,000 to 4,999 employees",IDR	Indonesian rupiah,9000000.0,Monthly,Matlab;PowerShell;Python;R;SQL,Bash/Shell;Julia;Kotlin;Python;Rust;Scala;SQL,PostgreSQL;SQLite,DynamoDB;MongoDB;PostgreSQL,Google Cloud Platform,AWS;Google Cloud Platform;Microsoft Azure,,,Apache Spark;Hadoop;Keras;NumPy;Pandas,Apache Spark;Hadoop;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Git;Yarn,Docker;Git;Kubernetes;Yarn,Eclipse;IPython/Jupyter;Notepad++;Vim;Visual Studio Code,IPython/Jupyter;Notepad++;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,7908.0
13946,13947,I am a developer by profession,"Not employed, but looking for work",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",5,,"Developer, front-end;Developer, full-stack",,,,,Haskell;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL;TypeScript,C++;Dart;Elixir;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,Firebase;MongoDB;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Google Cloud Platform;Heroku,Google Cloud Platform,Django;Express;Flask;Gatsby;jQuery;React.js;Vue.js,Django;Express;Flask;React.js,Hadoop,Flutter;Hadoop;React Native,Git,Docker;Git;Kubernetes,Atom;IntelliJ;Notepad++;PyCharm;Sublime Text;Visual Studio Code;Webstorm,Sublime Text;Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",Yes,18-24 years old,Woman,No,Straight / Heterosexual,Southeast Asian,I am deaf / hard of hearing,Prefer not to say,Appropriate in length,Easy,
13975,13976,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",8,1,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,,Monthly,HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,HTML/CSS;JavaScript;Kotlin;Node.js;TypeScript,Firebase;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis,AWS;DigitalOcean;Google Cloud Platform,AWS,Angular;Express;React.js,Angular;Express,Cordova;React Native,,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Android Studio;Visual Studio Code;Xcode,Android Studio;Visual Studio Code;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Man,No,,Southeast Asian;East Asian,None of the above,None of the above,Appropriate in length,Easy,
14226,14227,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",1,,,,,,,HTML/CSS;JavaScript;Node.js;TypeScript,Dart;Go;PHP;SQL,MongoDB,Firebase;MySQL;PostgreSQL,,,Express;React.js,Gatsby;Svelte;Vue.js,,,Git;Unity 3D,Docker;Kubernetes,Atom;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code,Android Studio;Vim,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not really",No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,I am blind / have difficulty seeing,I have an anxiety disorder,Appropriate in length,Neither easy nor difficult,
14333,14334,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Books / Physical media",10,10,"Developer, full-stack;Developer, back-end",2 to 9 employees,IDR	Indonesian rupiah,,Monthly,PHP,PHP,MariaDB;MySQL,MariaDB;MySQL,AWS;DigitalOcean,AWS;DigitalOcean,Laravel,Laravel,,,Docker;Git,Docker;Git,PHPStorm;Webstorm,PHPStorm;Webstorm,Windows,Google it;Play games,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
14388,14389,I am a developer by profession,Employed full-time,Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Books / Physical media,9,4,"Developer, back-end",10 to 19 employees,IDR	Indonesian rupiah,10000000.0,Monthly,Java;Kotlin,C;C++;Go;Ruby;Rust;Scala,MongoDB;MySQL;Redis;SQLite,Elasticsearch,,,,,,,Docker;Kubernetes,Docker;Kubernetes;Unreal Engine,Android Studio;Eclipse;IntelliJ;IPython/Jupyter;Neovim;Vim;Visual Studio Code,IntelliJ;Neovim;Vim;Visual Studio;Visual Studio Code,Linux-based,Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,8784.0
14834,14835,I am a student who is learning to code,"Student, full-time",Indonesia,,,Primary/elementary school,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",8,,,,,,,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript;VBA,HTML/CSS;Java;TypeScript,MariaDB;Microsoft SQL Server;MySQL,MariaDB;MySQL,Heroku,AWS,ASP.NET;Django;Express;jQuery;React.js,jQuery;React.js,.NET Framework;NumPy;Pandas,,Git;Unity 3D;Yarn,Git;Yarn,Android Studio;Eclipse;IntelliJ;Notepad++;Vim;Visual Studio;Visual Studio Code,Visual Studio Code,Windows,Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
14850,14851,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",5,4,"Developer, mobile;Developer, front-end","Just me - I am a freelancer, sole proprietor, etc.",USD	United States dollar,,,HTML/CSS;Java;JavaScript;Node.js;Objective-C;Swift;TypeScript,HTML/CSS;Java;JavaScript;Node.js;Objective-C;Swift;TypeScript,DynamoDB;Firebase;Oracle,Firebase,Microsoft Azure,,Angular;Gatsby;React.js;Vue.js,Angular;Gatsby;React.js;Vue.js,,,Git,Git,Android Studio;Visual Studio Code;Xcode,Android Studio;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,Yes,25-34 years old,,,,,,,Appropriate in length,Easy,
14920,14921,I am a developer by profession,Employed full-time,Indonesia,,,Some college/university study without earning a degree,11 - 17 years,School;Online Forum;Friend or family member;Colleague;Books / Physical media,11,5,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics",20 to 99 employees,IDR	Indonesian rupiah,3500000.0,Monthly,C#;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;Ruby;Rust;SQL;TypeScript,C#;C++;Go;Node.js;PowerShell;Rust;TypeScript,Elasticsearch;Firebase;PostgreSQL;Redis;SQLite,Elasticsearch;Firebase;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud Platform;Heroku,AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Express;Flask;Laravel;Ruby on Rails;Symfony,ASP.NET Core ;Express;Flask;React.js;Ruby on Rails;Svelte;Vue.js,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5;Qt;React Native,Git;Unity 3D;Unreal Engine,Deno;Docker;Git;Kubernetes;Unity 3D;Unreal Engine,Android Studio;Atom;IntelliJ;NetBeans;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code;Xcode,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have an anxiety disorder,Appropriate in length,Neither easy nor difficult,3072.0
14928,14929,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,School;Online Courses or Certification,3,,"Developer, back-end;Developer, game or graphics",,,,,C#;Java;JavaScript;PHP;Python;R;SQL,C#;Java;Python,MongoDB;MySQL;PostgreSQL;SQLite,MongoDB;MySQL,,,Django;Flask;Laravel,,Keras;NumPy;Pandas;TensorFlow,Keras;NumPy;Pandas;TensorFlow,Git;Unity 3D,Git;Unity 3D,Android Studio;Atom;Eclipse;Notepad++;RStudio;Visual Studio Code,Android Studio;Eclipse;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
15043,15044,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",,,,,,,,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Python;Rust;SQL,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Python;Rust;SQL,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,,,jQuery,jQuery,.NET Framework;NumPy,,Unity 3D,,PyCharm,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,A few times per week,Not sure/can't remember,,Neutral,No,18-24 years old,Man,Prefer not to say,Prefer not to say,Southeast Asian,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,
15147,15148,I code primarily as a hobby,"Not employed, and not looking for work",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Other (please specify):",5,,,,,,,Bash/Shell;JavaScript;Node.js;PowerShell;TypeScript,Bash/Shell;C#;C++;Dart;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Rust;SQL;TypeScript,,,Heroku,DigitalOcean,Express;jQuery;Vue.js,Express;React.js;Vue.js,,,Git;Yarn,Deno;Docker;Git;Kubernetes;Unity 3D;Unreal Engine;Yarn,Visual Studio Code,Visual Studio Code,Windows Subsystem for Linux (WSL),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic;Other (please specify):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Neither easy nor difficult,
15258,15259,I am a developer by profession,Employed full-time,Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,School,5,1,"Developer, mobile;Developer, back-end;Database administrator",2 to 9 employees,IDR	Indonesian rupiah,,Monthly,JavaScript;Python;SQL,Kotlin,PostgreSQL,MySQL;Oracle,AWS,DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,Flask;jQuery,Django;React.js,,,Git,,PyCharm;Sublime Text,Android Studio,MacOS,Visit Stack Overflow;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Not sure,Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,
15285,15286,I am a developer by profession,Employed full-time,Indonesia,,,Some college/university study without earning a degree,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",3,1,"Developer, mobile;Developer, front-end;Student",2 to 9 employees,IDR	Indonesian rupiah,4000000.0,Monthly,Dart;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,Dart;HTML/CSS;JavaScript;TypeScript,Firebase;MongoDB;MySQL,Firebase;MongoDB,Heroku,,Express;Laravel;React.js;Vue.js,React.js,Flutter;React Native,Flutter;React Native,Git;Yarn,Git;Yarn,Android Studio;IntelliJ;Notepad++;Visual Studio Code,Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Meditate;Play games,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",Yes,25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,3516.0
15563,15564,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Indonesia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,9,3,"Developer, back-end;Database administrator;System administrator","1,000 to 4,999 employees",USD	United States dollar,,Weekly,Bash/Shell;C;C++;Java;Python;SQL,Bash/Shell;Java;PowerShell;Python;SQL,MariaDB;MySQL;Redis,Cassandra;MariaDB;MySQL;Oracle;PostgreSQL;Redis,,,Spring,Flask;React.js;Spring,NumPy;Pandas,Flutter,Ansible;Docker;Git;Kubernetes,Ansible;Docker;Git;Kubernetes,Eclipse;IntelliJ;Notepad++;PyCharm;Vim,IntelliJ;PyCharm;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Neutral,No,25-34 years old,Prefer not to say,Prefer not to say,Prefer not to say,Southeast Asian,None of the above,None of the above,Too long,Neither easy nor difficult,
15904,15905,I am a student who is learning to code,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",3,,,,,,,Bash/Shell;C#;C++;Java;PHP,Go;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript,MariaDB;MySQL,Firebase;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,AWS;Heroku;Microsoft Azure,AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure,Express;jQuery;Laravel;React.js;Vue.js,Angular;Express;Svelte;Vue.js,Qt,Qt,Docker;Git;Kubernetes;Unity 3D;Yarn,Deno;Docker;Git;Kubernetes;Yarn,Atom;NetBeans;Neovim;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm,Neovim;PyCharm;Sublime Text;Vim;Visual Studio Code;Webstorm,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,Under 18 years old,Man,No,,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
16111,16112,I code primarily as a hobby,"Student, full-time",Indonesia,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):",Less than 1 year,,,,,,,HTML/CSS;JavaScript;Python;SQL,C++,Microsoft SQL Server;MySQL;SQLite,,,,Django;Flask;React.js,,NumPy;Pandas,,,,Sublime Text;Visual Studio Code,PyCharm,Windows,Visit Stack Overflow;Watch help / tutorial videos;Other (please specify):,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,
