,ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
40823,40824,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;How-to videos;Stack Overflow;Interactive tutorial,Codecademy,6,5,"Developer, back-end","5,000 to 9,999 employees",I have little or no influence,,Start a free trial,Indonesia,IDR	Indonesian rupiah,,Go;HTML/CSS;Java;JavaScript;PHP;SQL,Elixir;Go;HTML/CSS;Java;JavaScript;Python,MariaDB;Microsoft SQL Server;PostgreSQL;Redis,BigQuery;Cassandra;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Heroku,Angular;Laravel;Node.js;Spring Boot;Vue.js,Gatsby;Node.js;React;Spring Boot,Apache Kafka,Apache Kafka,Docker;Gradle;Kubernetes;Maven (build tool);npm;Yarn,Docker;Gradle,DataGrip;IntelliJ IDEA;Netbeans;Visual Studio Code,DataGrip;IntelliJ IDEA;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Other Linux-based;Windows;Windows Subsystem for Linux (WSL),Confluence;Jira,Confluence;Jira,Microsoft Teams;Skype;Slack;Whatsapp,Discord;Microsoft Teams;Slack,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Too long,Easy,
41136,41137,I agree,I am a developer by profession,18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Written Tutorials;Interactive tutorial,Codecademy;Udemy,4,3,"Developer, full-stack",100 to 499 employees,I have some influence,Investigate,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,31000.0,Go;HTML/CSS;JavaScript;TypeScript,Go;TypeScript,MariaDB;MongoDB;MySQL,,Amazon Web Services (AWS),Cloudflare,Express;Next.js;Node.js;React,Ruby on Rails,,,Docker;Homebrew;Make;npm;pnpm;Terraform;Webpack;Yarn,Docker;Make;npm;pnpm;Terraform;Yarn,Visual Studio Code;Xcode,Visual Studio Code,MacOS,MacOS,,,Discord;Google Meet;Whatsapp;Zoom,,ChatGPT,ChatGPT,GitHub Copilot;Synk Code,GitHub Copilot;Synk Code,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,new question without answers yet to start off a discussion/answer,Yes,Very favorable,Increase productivity;Greater efficiency,Somewhat trust,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code,Writing code;Documenting code;Debugging and getting help;Testing code,,,Debugging and getting help,,,Writing code;Documenting code;Testing code,Yes,Individual contributor,4.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,3-5 times a week,3-5 times a week,1-2 times a week,60-120 minutes a day,30-60 minutes a day,DevOps function;Microservices;Automated testing;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery,Healthcare,Appropriate in length,Neither easy nor difficult,2.0
41182,41183,I agree,I am a developer by profession,18-24 years old,"Employed, full-time;Student, full-time",Remote,Hobby;Professional development or self-paced learning from online courses;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy,7,,"Developer, full-stack",,,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,,,HTML/CSS;JavaScript,Go;JavaScript;Rust;TypeScript,PostgreSQL,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Microsoft Azure,Google Cloud,NestJS;Next.js;Node.js;React,Next.js;Node.js;Qwik;React,React Native,,Cargo;Docker;npm;pnpm;Yarn,Cargo;Docker;npm;Vite;Yarn,Android Studio;IntelliJ IDEA;Visual Studio Code,Visual Studio Code,iOS;Ubuntu,Ubuntu,Jira,Jira,Discord;Google Chat;Google Meet,Discord;Google Chat;Google Meet,ChatGPT,ChatGPT,GitHub Copilot,GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really","Nice addition, but the challenge is to ensure the AI can provide correct answer",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Documenting code;Debugging and getting help;Testing code;Committing and reviewing code,Writing code,Learning about a codebase;Project planning;Deployment and monitoring;Collaborating with teammates ,,,,,Writing code,Yes,Individual contributor,1.0,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,1-2 times a week,1-2 times a week,Never,60-120 minutes a day,Less than 15 minutes a day,None of these,,Appropriate in length,Easy,
41379,41380,I agree,I code primarily as a hobby,Under 18 years old,"Not employed, and not looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Books;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow,,,,,,,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Ask a generative AI tool,Indonesia,,,HTML/CSS;Java;JavaScript;Python;Rust;SQL,Haskell;HTML/CSS;Kotlin;Rust,PostgreSQL,PostgreSQL,,,,,Tauri;Torch/PyTorch,Tauri,Cargo,Cargo,Neovim;Visual Studio Code,Neovim,Other Linux-based;Windows,Windows,,,Discord;Whatsapp,Discord;Whatsapp,,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,Yes,"No, but I plan to soon",Favorable,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
41416,41417,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Colleague;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Click to write Choice 20;Stack Overflow;Interactive tutorial,Udemy;Coursera;Udacity;Skillsoft,9,7,"Developer, full-stack",100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,15000.0,Bash/Shell (all shells);C;C#;C++;Delphi;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;Visual Basic (.Net),Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,H2;MariaDB;Microsoft Access;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,BigQuery;Cosmos DB;Couch DB;Dynamodb;H2;MariaDB;MySQL;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;OVH;VMware;Vultr,Cloudflare;Firebase;Google Cloud;OVH;Vultr,CodeIgniter;Django;Express;Flask;jQuery;Laravel;Next.js;Node.js;React;Ruby on Rails;Spring Boot;Symfony;Vue.js;WordPress,Express;Flask;jQuery;Laravel;Node.js;Spring Boot;Vue.js,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;Cordova;Electron;Hadoop;MFC;Micronaut;Pandas;Quarkus;Scikit-Learn;Spring Framework,Apache Kafka;Micronaut;Pandas;Scikit-Learn;Spring Framework,Ant;Chocolatey;Composer;Docker;Homebrew;Kubernetes;Make;Maven (build tool);MSBuild;MSVC;npm;NuGet;Pacman;Pip;Unreal Engine;Webpack;Yarn,Composer;Docker;Homebrew;Kubernetes;Maven (build tool);npm;NuGet;Pacman;Pip;Webpack;Yarn,Android Studio;Atom;Code::Blocks;Nano;Neovim;Netbeans;Notepad++;Sublime Text;Visual Studio,Android Studio;Eclipse;IntelliJ IDEA;Nano;Netbeans;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Android;MacOS;Ubuntu;Windows,Android;MacOS;Red Hat;Solaris;Ubuntu;Windows,Confluence;Jira;Redmine;Trello,Azure Devops;Confluence;Jira;Microsoft Planner;Trello,Cisco Webex Teams;Discord;Google Chat;Google Meet;IRC;Jitsi;Signal;Skype;Telegram;Whatsapp;Zoom,Google Meet;Jitsi;Telegram;Whatsapp;Zoom,ChatGPT;WolframAlpha,Bing AI;ChatGPT;Google Bard AI;Metaphor;WolframAlpha,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat","Yes, since AI will know what the exact question with the exact answer","No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,1.0
41868,41869,I agree,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed;Student, full-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Freelance/contract work;School or academic work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Auditory material (e.g., podcasts);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos",Other;Udemy,4,,Student,,,Given a list,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool,Indonesia,,,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);Dart;Go;HTML/CSS;JavaScript;Lua;PHP;Python;Rust;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,BigQuery;Cassandra;Cloud Firestore;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Google Cloud;Heroku;Vercel,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Vercel,Django;FastAPI;Flask;Laravel;Vue.js,Django;FastAPI;Flask;Nuxt.js;Vue.js,Flutter,Apache Kafka;Electron;Flutter;Opencv;RabbitMQ;Tauri,APT;Cargo;Composer;Docker;npm;pnpm;Terraform,Ansible;APT;Cargo;Docker;Homebrew;Kubernetes;Make;Nix;pnpm;Pulumi;Terraform;Vite,Android Studio;Goland;Nano;Neovim;PyCharm;Vim;Visual Studio Code,Android Studio;Neovim;Visual Studio Code,Ubuntu,MacOS;Ubuntu,Asana;GitHub Discussions;Markdown File;Microsoft Lists;Microsoft Planner;Miro;Notion;Trello,Asana;Confluence;GitHub Discussions;Markdown File;Miro;Notion,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom,ChatGPT;Google Bard AI,ChatGPT;Google Bard AI,AWS CodeWhisperer,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",,Yes,Favorable,Speed up learning;Improve accuracy in coding;Improve collaboration,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code,,,,Writing code,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
42065,42066,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Stack Overflow;Interactive tutorial;Programming Games,edX;Udemy,15,8,Engineering manager,100 to 499 employees,I have some influence,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd,Indonesia,IDR	Indonesian rupiah,,Bash/Shell (all shells);C;C#;C++;Go;Groovy;Java;JavaScript;PHP;Python;SQL;TypeScript,Assembly;Rust,BigQuery;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku,,CodeIgniter;Express;Flask;jQuery;Laravel;Node.js;React;Spring Boot;Symfony;Vue.js,Next.js,Hadoop,,Ant;Composer;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm;Pip,,Netbeans;Notepad++;Sublime Text;Visual Studio Code,,Debian;MacOS;Ubuntu;Windows,,Jira;Trello,,Google Meet;Slack;Telegram;Whatsapp,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",,"No, but I plan to soon",Indifferent,,Neither trust nor distrust,,,,,,,,,Yes,People manager,8.0,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Never,10+ times a week,3-5 times a week,15-30 minutes a day,30-60 minutes a day,DevOps function;Microservices;Observability tools;Innersource initiative;Continuous integration (CI) and (more often) continuous delivery,Advertising Services,Appropriate in length,Neither easy nor difficult,
42492,42493,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial,,14,8,"Developer, full-stack",100 to 499 employees,I have little or no influence,,Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,700000000.0,C++;HTML/CSS;JavaScript;Python;R;SQL;TypeScript,C++;Go;HTML/CSS;JavaScript;Kotlin;Python;Rust;TypeScript,PostgreSQL,DuckDB;Dynamodb;Elasticsearch;MariaDB;MongoDB;PostgreSQL;Supabase,,,Django;jQuery;Node.js;Vue.js,Django;Express;FastAPI;Node.js;React;Svelte;Vue.js,Qt,Qt;TensorFlow;Torch/PyTorch,Ansible;CMake;Docker;GNU GCC;Kubernetes;LLVM's Clang;Ninja;npm;Pip;Vite,CMake;Docker;GNU GCC;Kubernetes;LLVM's Clang;Ninja;npm;Pip;Vite,Qt Creator;Visual Studio Code,CLion;IntelliJ IDEA;PyCharm;Qt Creator;Visual Studio Code;WebStorm,Windows;Other (Please Specify):,Other (Please Specify):,Jira;Notion,Jira;Notion,Google Meet;Jitsi;Mattermost;Microsoft Teams;Skype;Slack;Telegram;Whatsapp;Zoom,Google Meet;Slack;Telegram;Whatsapp,ChatGPT,Bing AI;ChatGPT;WolframAlpha,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",get an answer from the AI or help writing a good question/answer,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Debugging and getting help,,,,,,Writing code;Debugging and getting help,Yes,Individual contributor,8.0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,Never,Never,60-120 minutes a day,15-30 minutes a day,DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Too short,Easy,47133.0
44001,44002,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Professional development or self-paced learning from online courses,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training,,,11,8,"Senior Executive (C-Suite, VP, etc.)",100 to 499 employees,I have a great deal of influence,Investigate,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,1000000000.0,Bash/Shell (all shells);Clojure;Elixir;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Crystal;Elixir;Rust;SQL;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,"Amazon Web Services (AWS);Fly.io;Google Cloud;Linode, now Akamai;Microsoft Azure",Amazon Web Services (AWS);Fly.io;Google Cloud;Hetzner,FastAPI;Fastify;Node.js;Phoenix,Fastify;Node.js;Phoenix,Apache Spark;JAX;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,NumPy;Scikit-Learn,Cargo;Docker;Homebrew;Make;npm;Pip;pnpm;Terraform;Yarn,Cargo;Docker;Homebrew;Make;pnpm;Terraform,Neovim;Vim,Neovim,iOS;MacOS,Debian;iOS;MacOS;Ubuntu,Airtable;Azure Devops,,Google Meet;Slack;Zoom,Google Meet,ChatGPT,Bing AI;ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really","Worth a try. Maybe have it as a side, experimental feature that doesn’t distract the main features.",Yes,Unsure,Increase productivity,Somewhat distrust,Project planning;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring,Writing code,Learning about a codebase;Committing and reviewing code;Collaborating with teammates ,,,,,Writing code,Yes,People manager,8.0,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,3-5 times a week,10+ times a week,3-5 times a week,15-30 minutes a day,30-60 minutes a day,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,"Information Services, IT, Software Development, or other Technology",Appropriate in length,Easy,67333.0
44167,44168,I agree,I am a developer by profession,25-34 years old,I prefer not to say,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp",Formal documentation provided by the owner of the tech;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Stack Overflow;Certification videos,,,,,,I have little or no influence,,,Indonesia,TOP	Tongan pa’anga,,,,,,,,,,,,,,,,,,,,,,,,,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not at all",AI could generate the answers without being condescending and hostile towards the question,"No, but I plan to soon",Indifferent,,Neither trust nor distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,,
44196,44197,I agree,I code primarily as a hobby,25-34 years old,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Contribute to open-source projects,Some college/university study without earning a degree,On the job training,,,3,,Academic researcher,,,Other,Ask a generative AI tool,Indonesia,,,,,BigQuery,,Digital Ocean;Oracle Cloud Infrastructure (OCI),,Spring Boot,,.NET (5+) ,,Vite;Yarn,Boost.Test,,,AIX;Arch,,Adobe Workfront;Azure Devops;Linear;Microsoft Lists;Miro;Nuclino;Redmine;Shortcut;Smartsheet;Swit;Trello;Wikis;Workzone;YouTrack,Adobe Workfront;Azure Devops;Linear;Microsoft Lists;Miro;Nuclino;Redmine;Shortcut;Smartsheet;Swit;Trello;Wikis;Workzone;YouTrack,,,Metaphor;WolframAlpha,WolframAlpha,GitHub Copilot,GitHub Copilot,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"No, not at all",Ok Lest go,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,,
45140,45141,I agree,I am learning to code,18-24 years old,"Student, full-time",,,Some college/university study without earning a degree,"Online Courses or Certification;School (i.e., University, College, etc);Coding Bootcamp",,,3,,,,,,,Indonesia,,,C++;HTML/CSS;Java;JavaScript;Kotlin;Rust;TypeScript,C++;HTML/CSS;JavaScript;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Vercel,Amazon Web Services (AWS);Vercel,Next.js,Next.js,,,GNU GCC,GNU GCC,Android Studio;Visual Studio Code,Visual Studio Code,Android;Windows,Windows Subsystem for Linux (WSL),,,Discord;Google Meet;Microsoft Teams;Telegram;Whatsapp;Zoom,Google Meet;Telegram;Whatsapp;Zoom,,,,,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",,"No, but I plan to soon",Indifferent,,Somewhat trust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
45315,45316,I agree,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow,Udemy,8,3,"Developer, full-stack",20 to 99 employees,I have little or no influence,,Start a free trial,Indonesia,IDR	Indonesian rupiah,64200000.0,HTML/CSS;JavaScript;PHP;Ruby,Clojure;Elixir;Haskell;HTML/CSS;JavaScript;Ruby,MySQL;PostgreSQL;Redis,Couch DB;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Fly.io,Fly.io,jQuery;Laravel;Ruby on Rails;WordPress,Elm;Phoenix;Ruby on Rails,,,Chocolatey;Composer;Docker;Homebrew;npm;Webpack;Yarn,Docker;Homebrew;Yarn,Vim,Emacs;Vim,MacOS;Ubuntu;Windows Subsystem for Linux (WSL),MacOS,Basecamp;Markdown File;Trello,Markdown File,Discord;Whatsapp;Zoom,Whatsapp,ChatGPT,ChatGPT,GitHub Copilot,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really","title suggestion seams good, also for tagging and warn me before submit, if that question is already posted or answered","No, but I plan to soon",Indifferent,,Somewhat distrust,,,,,,,,,Yes,Individual contributor,3.0,Strongly agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,None of these,,Appropriate in length,Easy,4323.0
45370,45371,I agree,I am a developer by profession,18-24 years old,"Employed, full-time;Student, part-time",Remote,Hobby;Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,Some college/university study without earning a degree,"Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Written-based Online Courses;Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos,Other;Coursera,10,,"Developer, front-end",,,Investigate,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool;Research companies that have emailed me,Indonesia,,,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);C#;Elixir;Erlang;HTML/CSS;Rust;TypeScript,BigQuery;Cloud Firestore;MongoDB;PostgreSQL;Redis;Supabase,Cloud Firestore;MongoDB;PostgreSQL;Redis;Supabase,Cloudflare;Firebase;Heroku;Netlify;Vercel,Cloudflare;Firebase;Netlify;Vercel,Deno;Gatsby;Laravel;NestJS;Next.js;Nuxt.js;React;WordPress,Deno;Gatsby;NestJS;Next.js;Nuxt.js;Phoenix;Qwik;React;Remix;Ruby on Rails;Solid.js;Svelte;Vue.js,Electron;Flutter;Tauri,Capacitor;CUDA;Keras;NumPy;Opencv;OpenGL;Pandas;RabbitMQ;Scikit-Learn;SwiftUI;Tauri;TensorFlow;Torch/PyTorch,Bun;Cargo;Docker;Godot;Homebrew;Kubernetes;npm;Pip;pnpm;Unity 3D;Vite;Webpack;Yarn,Bun;Cargo;Docker;Godot;Homebrew;Kubernetes;pnpm;Pulumi;Unity 3D;Unreal Engine;Vite,Android Studio;Visual Studio Code,Visual Studio Code;WebStorm,Android;Windows;Windows Subsystem for Linux (WSL),Android;Debian;MacOS;Windows Subsystem for Linux (WSL),Airtable;Clickup;GitHub Discussions;Markdown File;Notion;Trello,Airtable;GitHub Discussions;Markdown File;Notion;Stack Overflow for Teams;Trello,Google Meet;Mattermost;Slack;Whatsapp,Cisco Webex Teams;Discord;Google Meet;Jitsi;Mattermost,ChatGPT;Phind,ChatGPT;Phind,GitHub Copilot;Synk Code,GitHub Copilot;Synk Code,Stack Overflow;Stack Exchange;Collectives on Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely","to identify duplicating question, suggest question quality, help moderator to review question answer and edit request.",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,Somewhat trust,Project planning;Documenting code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Learning about a codebase;Writing code;Debugging and getting help;Testing code,,Learning about a codebase;Writing code;Debugging and getting help;Testing code,,,,,Yes,Individual contributor,7.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,Appropriate in length,Easy,
