,Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsProgram,YearsCodedJob,YearsCodedJobPast,DeveloperType,WebDeveloperType,MobileDeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ExCoderReturn,ExCoderNotForMe,ExCoderBalance,ExCoder10Years,ExCoderBelonged,ExCoderSkills,ExCoderWillNotCode,ExCoderActive,PronounceGIF,ProblemSolving,BuildingThings,LearningNewTech,BoringDetails,JobSecurity,DiversityImportant,AnnoyingUI,FriendsDevelopers,RightWrongWay,UnderstandComputers,SeriousWork,InvestTimeTools,WorkPayCare,KinshipDevelopers,ChallengeMyself,CompetePeers,ChangeWorld,JobSeekingStatus,HoursPerWeek,LastNewJob,AssessJobIndustry,AssessJobRole,AssessJobExp,AssessJobDept,AssessJobTech,AssessJobProjects,AssessJobCompensation,AssessJobOffice,AssessJobCommute,AssessJobRemote,AssessJobLeaders,AssessJobProfDevel,AssessJobDiversity,AssessJobProduct,AssessJobFinances,ImportantBenefits,ClickyKeys,JobProfile,ResumePrompted,LearnedHiring,ImportantHiringAlgorithms,ImportantHiringTechExp,ImportantHiringCommunication,ImportantHiringOpenSource,ImportantHiringPMExp,ImportantHiringCompanies,ImportantHiringTitles,ImportantHiringEducation,ImportantHiringRep,ImportantHiringGettingThingsDone,Currency,Overpaid,TabsSpaces,EducationImportant,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,CousinEducation,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedFramework,WantWorkFramework,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Methodology,VersionControl,CheckInCode,ShipIt,OtherPeoplesCode,ProjectManagement,EnjoyDebugging,InTheZone,DifficultCommunication,CollaborateRemote,MetricAssess,EquipmentSatisfiedMonitors,EquipmentSatisfiedCPU,EquipmentSatisfiedRAM,EquipmentSatisfiedStorage,EquipmentSatisfiedRW,InfluenceInternet,InfluenceWorkstation,InfluenceHardware,InfluenceServers,InfluenceTechStack,InfluenceDeptTech,InfluenceVizTools,InfluenceDatabase,InfluenceCloud,InfluenceConsultants,InfluenceRecruitment,InfluenceCommunication,StackOverflowDescribes,StackOverflowSatisfaction,StackOverflowDevices,StackOverflowFoundAnswer,StackOverflowCopiedCode,StackOverflowJobListing,StackOverflowCompanyPage,StackOverflowJobSearch,StackOverflowNewQuestion,StackOverflowAnswer,StackOverflowMetaChat,StackOverflowAdsRelevant,StackOverflowAdsDistracting,StackOverflowModeration,StackOverflowCommunity,StackOverflowHelpful,StackOverflowBetter,StackOverflowWhatDo,StackOverflowMakeMoney,Gender,HighestEducationParents,Race,SurveyLong,QuestionsInteresting,QuestionsConfusing,InterestedAnswers,Salary,ExpectedSalary
32943,32944,Student,"Yes, both",Indonesia,"Yes, full-time",I prefer not to say,Secondary school,,,,,2 to 3 years,,,,,,,,,,,,,,,,,"Enunciating each letter: ""gee eye eff""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33233,33234,Professional developer,"Yes, I contribute to open source projects",Indonesia,"Yes, part-time",Employed full-time,Secondary school,,Never,100 to 499 employees,I don't know,4 to 5 years,3 to 4 years,,Desktop applications developer,,,,7.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LinkedIn,A recruiter contacted me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33290,33291,Professional non-developer who sometimes writes code,No,Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,I don't know,9 to 10 years,Less than a year,,,,,Analyst or consultant,2.0,7.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",2.0,Less than a year ago,Very important,Somewhat important,Important,Very important,Important,Very important,Important,Very important,Important,Important,Somewhat important,Very important,Important,Important,Important,Annual bonus; Professional development sponsorship; Education sponsorship; Expected work hours; Other,Yes,LinkedIn; Monster,,A career fair or on-campus recruiting event,Important,Very important,Important,Somewhat important,Very important,Not very important,Not very important,Somewhat important,Somewhat important,Somewhat important,,,Tabs,,,,,,9:00 AM,Python; SQL,C; C#; Java; JavaScript; Python,,AngularJS; .NET Core,MySQL; PostgreSQL,Oracle,Linux Desktop,Linux Desktop,Sublime Text; Eclipse; NetBeans,Keep the room absolutely quiet,Waterfall; Evidence-based SWE,Subversion,A few times a month,Disagree,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not much influence,Not much influence,No influence at all,No influence at all,No influence at all,Not much influence,No influence at all,No influence at all,No influence at all,No influence at all,Not much influence,"I've visited Stack Overflow, but haven't logged in/created an account",10.0,Desktop,At least once each day,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Agree,Agree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Female,"Some college/university study, no bachelor's degree",,Agree,Strongly agree,Disagree,Agree,,
33300,33301,Professional developer,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer programming or Web development,"Less than half the time, but at least one day each week","10,000 or more employees","Privately-held limited company, not in startup mode",15 to 16 years,8 to 9 years,,Web developer; Mobile developer; Desktop applications developer; Database administrator; Systems administrator,,,,9.0,9.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,I saw an employer's advertisement,An external recruiter or headhunter,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,,,Both,Very important,,,,Take online courses; Contribute to open source; Bootcamp; Part-time/evening courses,2:00 AM,C#; PHP; Python; VB.NET,C#; PHP; Python; VB.NET,AngularJS; Cordova; .NET Core,AngularJS; Cordova; Xamarin; Firebase; .NET Core,MySQL; SQLite,MySQL; SQLite,,,Notepad++; Android Studio; PHPStorm; Visual Studio,Turn on some music,,Git,Multiple times a day,Disagree,Strongly agree,Disagree,Disagree,Somewhat agree,Disagree,Agree,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33441,33442,Professional developer,"Yes, both",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,Non-profit/non-governmental organization or private school/university,4 to 5 years,2 to 3 years,,Web developer; Mobile developer; Desktop applications developer,,,,8.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Disagree,Agree,"I'm not actively looking, but I am open to new opportunities",12.0,Between 2 and 4 years ago,Somewhat important,Important,Very important,Not very important,Important,Important,Important,Very important,Important,Very important,Not very important,Very important,Not at all important,Not very important,Somewhat important,Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options,Yes,,,,,,,,,,,,,,,Somewhat underpaid,Tabs,Not very important,Online course; Industry certification; Self-taught; Coding competition; Open source contributions,Official documentation; Trade book; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities,,Take online courses; Contribute to open source; Buy books and work through the exercises; Conferences/meet-ups,9:00 AM,C#; Java; JavaScript; PHP; SQL; VB.NET,C#; Java; JavaScript; PHP; Python; Ruby; SQL; TypeScript; VB.NET,Cordova; Firebase; .NET Core,AngularJS; Node.js; React; Xamarin; .NET Core,SQL Server; MySQL; Oracle; SQLite,Cassandra; MongoDB; Redis; SQL Server; MySQL; PostgreSQL; Oracle; SQLite,Android; Windows Desktop; Linux Desktop; WordPress,Android; Windows Desktop; Linux Desktop; Mac OS; Raspberry Pi; WordPress,Atom; Notepad++; Sublime Text; Android Studio; Eclipse; IntelliJ; NetBeans; PHPStorm; Visual Studio; Visual Studio Code,Turn on some music,Waterfall,Git,Multiple times a day,Somewhat agree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Bugs found; Customer satisfaction; On time/in budget; Peers' rating,,,,,,,,,,,,,,,,,,I have created a CV or Developer Story on Stack Overflow,10.0,Desktop; Android browser,At least once each day,At least once each day,At least once each week,At least once each week,Several times,Haven't done at all,Once or twice,Haven't done at all,Agree,Somewhat agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Male,High school,East Asian; South Asian,Agree,Somewhat agree,Somewhat agree,Agree,2692.39398698676,
33595,33596,Student,"Yes, both",Indonesia,"Yes, part-time","Independent contractor, freelancer, or self-employed",Secondary school,,All or almost all the time (I'm full-time remote),,,2 to 3 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,Between 1 and 2 years ago,Very important,Important,Somewhat important,Important,Very important,Very important,Important,Important,Important,Very important,Important,Somewhat important,Important,Important,Important,Health benefits; Professional development sponsorship; Expected work hours; Remote options; Child/elder care,Yes,,,,Very important,Somewhat important,Important,Important,Very important,Somewhat important,Somewhat important,Important,Somewhat important,Very important,,,Both,,Part-time/evening course; Self-taught,Official documentation; Stack Overflow Q&A; Stack Overflow Docs; Non-Stack online communities,,Return to college; Take online courses; Part-time/evening courses; Buy books and work through the exercises,9:00 AM,JavaScript; PHP,C++; Java; JavaScript; Objective-C; PHP; Python; Ruby,,AngularJS; Node.js; Cordova,MySQL,Cassandra; MongoDB; MySQL,Android; iOS,Android; iOS; Windows Desktop,Notepad++; Android Studio,Turn on some music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop; Android browser,At least once each day,Several times,Once or twice,Haven't done at all,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,High school,,Disagree,Strongly agree,Somewhat agree,Strongly agree,,
33736,33737,Student,"Yes, both",Indonesia,I prefer not to say,"Independent contractor, freelancer, or self-employed",I prefer not to answer,,Never,,,1 to 2 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Somewhat important,Important,Not very important,Not very important,Somewhat important,Not very important,Not very important,Important,Not at all important,Not at all important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34304,34305,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time","Not employed, but looking for work",Secondary school,,,,,3 to 4 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Disagree,Strongly disagree,Disagree,,,,,,,,,,,,,,,,,,,,Yes,,,,Important,Important,Important,Not at all important,Somewhat important,Not very important,Not very important,Somewhat important,Not at all important,Somewhat important,,,Both,,Self-taught,Official documentation; Trade book; Stack Overflow Q&A,,Take online courses; Buy books and work through the exercises,10:00 AM,,C#; PHP; SQL; VB.NET,,.NET Core,MySQL,MySQL; SQLite,,,Notepad++; Visual Studio; Visual Studio Code,Turn on some music,,,,,,,,,,,,Somewhat satisfied,Satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,Satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7.0,Desktop; Android browser; Android app,At least once each week,Several times,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Once or twice,Haven't done at all,Somewhat agree,Disagree,Disagree,Agree,Agree,Strongly agree,Somewhat agree,Disagree,Male,A bachelor's degree,,Agree,Somewhat agree,Disagree,Agree,,523.521053025204
35127,35128,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time",Employed full-time,I prefer not to answer,,About half the time,"1,000 to 4,999 employees",Government agency or public school/university,Less than a year,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",2.0,Less than a year ago,Somewhat important,Very important,Somewhat important,Important,Important,Important,Somewhat important,Important,Important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Important,None of these,Yes,,,An external recruiter or headhunter,Very important,Important,Very important,Not at all important,Very important,Not at all important,Not at all important,Not very important,Not at all important,Somewhat important,,,Tabs,,On-the-job training; Self-taught,,,None of these,,JavaScript; PHP,JavaScript; PHP,Cordova,Cordova,SQL Server; MySQL; PostgreSQL; Oracle,MySQL; PostgreSQL; Oracle,Windows Desktop; Linux Desktop,Linux Desktop,Sublime Text,Turn on some music,,Git,Multiple times a day,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Satisfied,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35154,35155,Professional non-developer who sometimes writes code,"Yes, I contribute to open source projects",Indonesia,No,Employed full-time,Bachelor's degree,Computer programming or Web development,A few days each month,"10,000 or more employees",State-owned company,3 to 4 years,1 to 2 years,,,,,,7.0,0.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,I am actively looking for a job,4.0,Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35273,35274,Student,"Yes, I program as a hobby",Indonesia,No,"Not employed, and not looking for work",Primary/elementary school,,,,,Less than a year,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",1.0,Not applicable/ never,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Not very important,Somewhat important,Somewhat important,Important,Very important,Annual bonus; Vacation/days off; Expected work hours; Remote options,No,,,,Somewhat important,Not very important,Important,Not at all important,Not very important,Not very important,Not very important,Not at all important,Not very important,Somewhat important,,,Both,,Part-time/evening course; Self-taught,Stack Overflow Q&A; Non-Stack online communities,,Part-time/evening courses; Buy books and work through the exercises,10:00 AM,JavaScript; PHP; Python; SQL,JavaScript; PHP; SQL,,,MySQL,MySQL,WordPress,,,Turn on some music,,Zip file back-ups,Multiple times a day,Disagree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Bugs found; Customer satisfaction; Self-rating,Satisfied,Somewhat satisfied,Somewhat satisfied,Satisfied,Somewhat satisfied,Not very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",7.0,Desktop; Android browser,Several times,Once or twice,Once or twice,Several times,Several times,Once or twice,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Male,A bachelor's degree,Middle Eastern,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,
35432,35433,Professional developer,No,Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",7 to 8 years,6 to 7 years,,Web developer,Full stack Web developer,,,7.0,3.0,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,Strongly agree,Strongly agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,Yes,LinkedIn; Other,I was just giving it a regular update,An external recruiter or headhunter,Somewhat important,Important,Important,Somewhat important,Important,Not very important,Somewhat important,Not very important,Not very important,Important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all satisfied,Not very satisfied,Somewhat satisfied,Not at all satisfied,Somewhat satisfied,Not very satisfied,I am the final decision maker,No influence at all,I am the final decision maker,I am the final decision maker,I am the final decision maker,No influence at all,I am the final decision maker,I am the final decision maker,No influence at all,No influence at all,Not much influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35660,35661,Professional non-developer who sometimes writes code,No,Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Less than a year,,,,,Data scientist,6.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Agree,Disagree,Agree,"I'm not actively looking, but I am open to new opportunities",5.0,Less than a year ago,Important,Important,Somewhat important,Important,Important,Very important,Important,Important,Not very important,Important,Somewhat important,Important,Important,Important,Somewhat important,Annual bonus; Equipment; Education sponsorship; Remote options; Meals,No,,,,,,,,,,,,,,,,Spaces,,Online course; Self-taught; Coding competition; Hackathon,Trade book; Textbook; Stack Overflow Q&A,,Get a job as a QA tester; Take online courses; Contribute to open source; Buy books and work through the exercises,9:00 AM,C++; Java; Matlab; PHP; Python; R; SQL,C++; Java; JavaScript; Matlab; PHP; Python; R; Ruby; SQL; Swift,Hadoop; Spark; Xamarin,Hadoop; Spark; Xamarin,,,,,,,,,,,,,,,,,,Not at all satisfied,Somewhat satisfied,Not very satisfied,Satisfied,Somewhat satisfied,Somewhat satisfied,Some influence,Not much influence,Not much influence,Not much influence,Some influence,A lot of influence,A lot of influence,Not much influence,Some influence,Some influence,Some influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35949,35950,Student,"Yes, I program as a hobby",Indonesia,"Yes, full-time","Not employed, but looking for work",Bachelor's degree,"Information technology, networking, or system administration",,,,7 to 8 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,No,LinkedIn,,,Very important,Somewhat important,Somewhat important,Somewhat important,Important,Somewhat important,Important,Important,Somewhat important,Important,,,Tabs,,On-the-job training; Self-taught; Coding competition,Official documentation; Stack Overflow Q&A; Other,,Get a job as a QA tester; Take online courses; Part-time/evening courses; Participate in online coding competitions,9:00 AM,C#; Java,C#; Haskell,.NET Core,,MySQL,,Windows Desktop,,Notepad++; Eclipse; Visual Studio,Keep the room absolutely quiet,Agile; Scrum,Mercurial,Once a day,Disagree,Agree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Customer satisfaction; On time/in budget; Peers' rating,,,,,,,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",9.0,Desktop; Android app,Once or twice,At least once each week,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Somewhat agree,Disagree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Male,I prefer not to answer,East Asian,Somewhat agree,Somewhat agree,Strongly disagree,Agree,,448.73233116446
36246,36247,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Secondary school,,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",8 to 9 years,1 to 2 years,,,,,Other,4.0,6.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,"I'm not actively looking, but I am open to new opportunities",0.0,Less than a year ago,,,,,,,,,,,,,,,,,No,LinkedIn; Other,,"A friend, family member, or former colleague told me",Very important,Important,Very important,Somewhat important,Important,Not very important,Important,Important,Somewhat important,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36482,36483,Student,"Yes, both",Indonesia,I prefer not to say,I prefer not to say,I prefer not to answer,,,,,4 to 5 years,,,,,,,,,,,,,,,,,"With a hard ""g,"" like ""gift""",,,,,,,,,,,,,,,,,,"I'm not actively looking, but I am open to new opportunities",40.0,Not applicable/ never,,,,,,,,,,,,,,,,,No,LinkedIn,,,Very important,Very important,Somewhat important,Very important,Very important,Not very important,Not very important,Not very important,Somewhat important,Somewhat important,,,,,Self-taught,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36707,36708,Professional developer,"Yes, both",Indonesia,No,"Independent contractor, freelancer, or self-employed",Secondary school,,All or almost all the time (I'm full-time remote),,,5 to 6 years,2 to 3 years,,Web developer,Full stack Web developer,,,10.0,10.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,No,,I received bad news about the future of my company or depart,,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Not at all important,Not very important,Very important,,,Both,,,,,,10:00 PM,C; C++; Java; JavaScript; PHP; SQL,JavaScript; PHP; SQL,AngularJS; Node.js; Cordova,Hadoop; Node.js; React,MongoDB; Redis; SQL Server; MySQL; SQLite,MongoDB; Redis; MySQL,Android; Windows Desktop; Linux Desktop,Windows Desktop; Linux Desktop,Notepad++; Sublime Text; Android Studio,Keep the room absolutely quiet,Waterfall; Agile; Lean; Scrum; Extreme; Pair; Mob; Kanban; Evidence-based SWE; Domain-driven design,Git,A few times a week,Agree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Bugs found; Release frequency; Customer satisfaction; On time/in budget; Revenue performance,Satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,,,,,,,,,,,,"I have a login for Stack Overflow, but haven't created a CV or Developer Story",10.0,Desktop,Several times,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Once or twice,Once or twice,Haven't done at all,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Disagree,Male,"Some college/university study, no bachelor's degree",South Asian,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,
36711,36712,Professional non-developer who sometimes writes code,"Yes, I program as a hobby",Indonesia,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,I don't know,1 to 2 years,1 to 2 years,,,,,Product manager,0.0,0.0,,,,,,,,,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I am not interested in new job opportunities,,Not applicable/ never,,,,,,,,,,,,,,,,None of these,No,Other,,"A friend, family member, or former colleague told me",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,,Tabs,,,,,,,C++,C++,,,,,Windows Desktop,Android; iOS; Windows Phone; Windows Desktop; Linux Desktop; Mac OS; Arduino; Raspberry Pi,,"Put on some ambient sounds (e.g. whale songs, forest sounds)",,,,,,,,,,,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,No influence at all,"I've visited Stack Overflow, but haven't logged in/created an account",7.0,Desktop,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Haven't done at all,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Disagree,Disagree,Male,High school,East Asian,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,
36924,36925,Used to be a professional developer,"Yes, both",Indonesia,"Yes, full-time",Employed full-time,Bachelor's degree,"Information technology, networking, or system administration",Never,500 to 999 employees,"Privately-held limited company, not in startup mode",1 to 2 years,,1 to 2 years,,,,,0.0,0.0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,"With a hard ""g,"" like ""gift""",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,No,Glassdoor; LinkedIn,,I visited the company's Web site and found a job listing there,Very important,Somewhat important,Important,Somewhat important,Not very important,Somewhat important,Not very important,Important,Not at all important,Important,,,Tabs,,Industry certification; Self-taught,Official documentation; Trade book; Textbook; Stack Overflow Q&A; Stack Overflow Docs; Company internal community; Built-in help,,Master's degree; Participate in online coding competitions; Buy books and work through the exercises,9:00 AM,C; C++; C#; Java; JavaScript; Matlab; PHP; SQL; VBA,,,,SQL Server; MySQL; SQLite,,Android; Windows Desktop; Linux Desktop; Arduino; SharePoint,,Atom; Android Studio; Eclipse; IntelliJ; NetBeans; Visual Studio; Visual Studio Code,Keep the room absolutely quiet,Waterfall,Git,Just a few times over the year,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Customer satisfaction,,,,,,,,,,,,,,,,,,"I've visited Stack Overflow, but haven't logged in/created an account",10.0,Desktop,At least once each day,Once or twice,Haven't done at all,Haven't done at all,Once or twice,Haven't done at all,Haven't done at all,Haven't done at all,Strongly agree,Strongly disagree,Somewhat agree,,Strongly agree,Agree,Strongly agree,Agree,Male,A bachelor's degree,East Asian,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,
