,ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
44692,44693,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial",Udemy;Codecademy;edX,2,1,System administrator,100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indonesia,IDR	Indonesian rupiah,8000000.0,Monthly,Bash/Shell;Python;SQL,Bash/Shell;Go;Python,MariaDB;MySQL,MariaDB;MySQL;Oracle;PostgreSQL;Redis,Managed Hosting,AWS;DigitalOcean;Google Cloud;Managed Hosting,,,,,Docker,Ansible;Docker;Kubernetes;Terraform,Neovim;Vim,Neovim;Vim,BSD;Linux-based;Windows;Windows Subsystem for Linux (WSL),Linux-based,Git,Command-line;Version control hosting service web GUI,,,,,Microsoft Teams,Slack,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,2.0,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Very long,Innersource initiative;Developer portal or other central places to find tools/services;Observability tools,No,Yes,Yes,Appropriate in length,Easy,6552.0
45579,45580,I am learning to code,"Student, full-time",,,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Blogs;Written Tutorials;How-to videos,,3,,,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,C++;Go;Java;JavaScript;Lua;PHP;Python;Ruby;Rust,Java;Rust,MariaDB;MongoDB;Oracle;PostgreSQL;Redis,MariaDB;PostgreSQL;Redis,DigitalOcean;VMware,,jQuery;Laravel;Node.js;Nuxt.js;Vue.js,,NumPy;Pandas;Scikit-learn;Spring,Spring,npm;Unity 3D;Unreal Engine;Yarn,Docker,Android Studio;GoLand;IntelliJ;NetBeans;Neovim;PyCharm;Sublime Text;Vim;Visual Studio Code,IntelliJ;Neovim;Visual Studio Code,Windows,Linux-based;Windows,Git,Code editor,,,Jira Work Management;Notion;Trello,Notion;Trello,Slack;Zoom,Zoom,Indifferent,Stack Overflow;Stack Exchange,A few times per week,No,,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
46019,46020,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Bootstrapping a business,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp;Hackathons (virtual or in-person)","Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos",Udemy,7,6,"Developer, front-end;Developer, full-stack;Developer, mobile;Project manager;Designer","Just me - I am a freelancer, sole proprietor, etc.",I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd,Indonesia,USD	United States dollar,144000.0,Yearly,Bash/Shell;C++;Dart;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;SQL;TypeScript,Bash/Shell;C#;C++;Dart;Go;HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript,MariaDB;MySQL,MariaDB;MySQL,DigitalOcean;Firebase;Managed Hosting,AWS;DigitalOcean;Firebase;Google Cloud;Managed Hosting,Laravel;Node.js,Angular.js;Laravel;Node.js;Vue.js,Flutter,Flutter,npm,Docker;npm,Android Studio;IntelliJ;Visual Studio;Visual Studio Code,Android Studio;Visual Studio;Visual Studio Code;Xcode,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Trello,Microsoft Planner;Microsoft Lists;Stack Overflow for Teams;Trello,Google Chat;Microsoft Teams;Zoom,Google Chat;Microsoft Teams;Zoom,Indifferent,Collectives on Stack Overflow;Stack Overflow,A few times per month or weekly,Yes,A few times per month or weekly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,144000.0
47248,47249,I am learning to code,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written-based Online Courses;Coding sessions (live or recorded)",Coursera;Other,2,,,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,MATLAB;Python,C++;Python,,,,,,,,,,,Nano;Visual Studio Code,Nano;Vim;Visual Studio Code,Linux-based,Linux-based,Git,Code editor;Command-line,,,,,,,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
47335,47336,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Coding sessions (live or recorded);Certification videos,Udacity;Other,8,6,"Developer, full-stack;Project manager",10 to 19 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,28750000.0,Yearly,HTML/CSS;JavaScript;Kotlin;PHP;SQL,Dart;Go;HTML/CSS;JavaScript;Kotlin;PHP;Python;Scala;SQL;TypeScript,MariaDB;MongoDB;MySQL,Cloud Firestore;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis,AWS;Firebase;Google Cloud;Managed Hosting,AWS;DigitalOcean;Firebase;Google Cloud;Heroku;Oracle Cloud Infrastructure,jQuery;Laravel;Node.js,Angular.js;ASP.NET;ASP.NET Core ;Express;Gatsby;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React.js;Svelte;Vue.js,Flutter,.NET;Apache Kafka;Flutter;React Native;TensorFlow,npm,Docker;Flow;Kubernetes;npm;Terraform;Yarn,Android Studio;IntelliJ;NetBeans;Visual Studio Code,Android Studio;IntelliJ;Visual Studio Code;Xcode,Windows,Windows,Git,Code editor;Version control hosting service web GUI,,,Jira Work Management;Notion;Trello,Asana;Confluence;Jira Work Management;Notion,Google Chat;Zoom,Cisco Webex Teams;Google Chat;Slack;Zoom,Favorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,Yes,Independent contributor,3.0,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,1-2 times a week,3-5 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,Just right,None of these,Yes,Yes,Yes,Appropriate in length,Easy,1963.0
47373,47374,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Fully remote,Hobby;Bootstrapping a business;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);On the job training",Technical documentation;Written Tutorials;Stack Overflow,,4,2,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator;DevOps specialist;Designer",20 to 99 employees,I have some influence,Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,2900000.0,Monthly,JavaScript;PHP;TypeScript,JavaScript;TypeScript,MariaDB;Microsoft SQL Server;MongoDB,Elasticsearch;MongoDB;Redis,Google Cloud,Google Cloud,Angular;Express;Fastify;Node.js,Deno;Express;Next.js;Node.js,React Native,Flutter;React Native;TensorFlow,npm;Yarn,Docker;npm;Yarn,Android Studio;Visual Studio Code,Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Linux-based;Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,Jira Work Management;Trello,,Zoom,,Very unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Asian;South Asian,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",No,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,2376.0
47399,47400,I am learning to code,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Stack Overflow;Video-based Online Courses;Written-based Online Courses,,4,,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, embedded applications or devices;System administrator",,,Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,Indonesia,,,,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Dart;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,AWS;DigitalOcean;Firebase;Google Cloud;Managed Hosting,AWS;DigitalOcean;Firebase;Google Cloud;Managed Hosting,Angular;jQuery;Laravel;Node.js;Nuxt.js;Vue.js,Angular;Deno;jQuery;Laravel;Next.js;Node.js;Nuxt.js;Svelte;Vue.js,Cordova;Flutter;Ionic,Cordova;Flutter;Ionic;React Native,Docker;npm;Yarn,Docker;Kubernetes;npm;Yarn,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code;Xcode,Linux-based;macOS;Windows,macOS;Windows,Git,Code editor;Command-line,,,ClickUp;Trello,ClickUp;Jira Work Management;Trello,Slack;Zoom,Slack;Zoom,Unfavorable,I have never visited Stack Overflow or the Stack Exchange network,,Yes,I have never participated in Q&A on Stack Overflow,Neutral,25-34 years old,Woman,No,Prefer not to say,I don't know,I am unable to / find it difficult to type,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Yes,Independent contributor,6.0,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,3-5 times a week,6-10 times a week,3-5 times a week,15-30 minutes a day,30-60 minutes a day,Just right,None of these,Yes,Yes,Yes,Too short,Neither easy nor difficult,
47480,47481,I am a developer by profession,"Employed, full-time",Full in-person,Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);On the job training;Colleague",Blogs;Stack Overflow;Online books;How-to videos,,14,14,"Developer, full-stack",500 to 999 employees,I have some influence,Start a free trial,Indonesia,IDR	Indonesian rupiah,350000000.0,Yearly,JavaScript;PHP;Ruby;SQL;VBA,,Microsoft SQL Server;MongoDB;MySQL,,AWS;DigitalOcean,,Express;Node.js;React.js;Ruby on Rails,,,,npm,,Notepad++;Sublime Text;Visual Studio Code,,Linux-based;Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Jira Work Management,,Microsoft Teams;Slack;Zoom,,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",35-44 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,23893.0
47532,47533,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Online forum;Coding sessions (live or recorded);Certification videos,Udemy;Codecademy,16,16,,,I have little or no influence,,Indonesia,IDR	Indonesian rupiah,,,C;C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Dart;TypeScript,MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,MongoDB;Redis,,,jQuery;Laravel,Angular.js;Node.js;React.js;Vue.js,.NET;NumPy;Pandas,Flutter,,,Notepad++;Sublime Text;Visual Studio,Visual Studio Code,Windows,Linux-based;Windows,Git;SVN,Command-line;Version control hosting service web GUI,,,,,Zoom,,Unsure,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,,Asian,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Too long,Easy,
47574,47575,I am a developer by profession,"Student, full-time",,,"Associate degree (A.A., A.S., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Blogs;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Coding sessions (live or recorded);Certification videos,Udemy,3,,,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Indonesia,,,,PHP;Python,C++;Dart;Go;Python,MySQL,MariaDB;MongoDB;PostgreSQL,Heroku,AWS;DigitalOcean;Firebase;Heroku,Django;Flask,Django;FastAPI;Flask;Vue.js,Flutter,Electron;Flutter;Qt,Docker;npm,Ansible;Docker;npm,GoLand;PyCharm;Visual Studio Code,Android Studio;GoLand;PhpStorm;PyCharm;Visual Studio Code,Linux-based,Linux-based,Git,Code editor;Command-line,,,Asana;Trello,Asana;Microsoft Planner,Zoom,Zoom,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",18-24 years old,Man,No,Prefer not to say,Pacific Islander,Prefer not to say,Prefer not to say,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
47593,47594,I am learning to code,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification",,,2,,,,,Start a free trial;Ask developers I know/work with,Indonesia,,,,C;C++;HTML/CSS,,MySQL,MySQL,AWS;Google Cloud,AWS;Google Cloud,jQuery,jQuery,.NET,.NET,npm,npm,Android Studio;Sublime Text;Visual Studio Code,Android Studio;Sublime Text;Visual Studio Code,Linux-based;Windows,Linux-based;Windows,Git,Version control hosting service web GUI;Dedicated version control GUI application,,,,,Zoom,Zoom,Very favorable,Stack Overflow,Less than once per month or monthly,Yes,,Neutral,Under 18 years old,Man,No,Prefer not to say,Southeast Asian,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
47692,47693,I am a developer by profession,"Employed, full-time;Student, full-time",Full in-person,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Online books;Coding sessions (live or recorded),,4,,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;System administrator",,,Research companies that have emailed me,Indonesia,,,,C;C++;Dart;PHP;TypeScript,Go;Rust,MongoDB;MySQL;PostgreSQL,PostgreSQL;Redis,Firebase;Heroku,AWS,Django;Express;jQuery;Laravel;Next.js;Node.js;React.js;Vue.js,,Flutter;NumPy;Pandas;TensorFlow,,Docker;npm;Yarn,Docker;Kubernetes;Yarn,Android Studio;Neovim;Sublime Text;Vim;Visual Studio Code,Neovim,,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Jira Work Management,Jira Work Management,Slack;Zoom,Slack,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,Yes,Independent contributor,2.0,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Never,10+ times a week,1-2 times a week,Less than 15 minutes a day,15-30 minutes a day,Somewhat short,Microservices,No,No,No,Appropriate in length,Neither easy nor difficult,
47711,47712,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time",Full in-person,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",,Coursera;Udemy,20,16,"Engineer, site reliability;Developer, full-stack;Developer, back-end;Project manager;Cloud infrastructure engineer;System administrator",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,IDR	Indonesian rupiah,,Monthly,PHP,Rust,MariaDB,Elasticsearch,VMware,Google Cloud,Laravel,Phoenix,NumPy,,Docker,Ansible,Android Studio,Visual Studio,Linux-based,Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,monday.com,,Microsoft Teams;Zoom,Microsoft Teams;Zoom,Unsure,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,Asian;Southeast Asian,None of the above,None of the above,Yes,Independent contributor,16.0,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,1-2 times a week,3-5 times a week,30-60 minutes a day,15-30 minutes a day,Just right,Innersource initiative,No,No,Yes,Too long,Neither easy nor difficult,
47755,47756,I am learning to code,"Not employed, but looking for work",,,Some college/university study without earning a degree,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp",,Udemy,3,,"Developer, front-end",,,Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,HTML/CSS;JavaScript,HTML/CSS;JavaScript,MongoDB;MySQL,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL,AWS,AWS;DigitalOcean;Firebase;Google Cloud;Microsoft Azure,Express;Node.js;React.js,Express;Next.js;Node.js;React.js,,,npm,npm,Atom;Sublime Text;Visual Studio Code,Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Trello,,Google Chat;Zoom,Zoom,Very favorable,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
47762,47763,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Colleague","Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses",,3,2,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",20 to 99 employees,I have a great deal of influence,Start a free trial,Indonesia,IDR	Indonesian rupiah,,Monthly,Java;JavaScript;Kotlin;PHP,JavaScript;Kotlin;Python;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,,,Express;Flask;Laravel;Node.js,Express;Node.js;React.js,,,npm,Docker;Kubernetes;npm,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,,,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,18-24 years old,Man,No,Straight / Heterosexual,Asian;Black;Southeast Asian,None of the above,None of the above,Yes,People manager,3.0,Neither agree nor disagree,,,,,,,1-2 times a week,10+ times a week,3-5 times a week,Over 120 minutes a day,Over 120 minutes a day,Somewhat long,Innersource initiative,No,No,Yes,Appropriate in length,Easy,
47857,47858,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos,Coursera;Udemy,7,3,"Developer, back-end;Developer, desktop or enterprise applications",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow,Indonesia,IDR	Indonesian rupiah,5000000.0,Monthly,C#;SQL,C#;C++;JavaScript;PHP;SQL,Microsoft SQL Server,MariaDB;Microsoft SQL Server;PostgreSQL;SQLite,Managed Hosting;Microsoft Azure,AWS;Firebase;Managed Hosting,,,.NET;Xamarin,.NET;Xamarin,,,Visual Studio;Visual Studio Code,Vim;Visual Studio;Visual Studio Code,Windows,Linux-based;Windows,Git,Version control hosting service web GUI;Dedicated version control GUI application,,,,,,,Indifferent,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,Asian;East Asian;Southeast Asian,None of the above,None of the above,Yes,Independent contributor,5.0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,3-5 times a week,3-5 times a week,Never,60-120 minutes a day,60-120 minutes a day,Just right,Innersource initiative,Yes,No,Yes,Appropriate in length,Easy,4092.0
47943,47944,"I am not primarily a developer, but I write code sometimes as part of my work","Not employed, but looking for work;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Colleague","Programming Games;Written Tutorials;Stack Overflow;Online books;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Coding sessions (live or recorded)",Other,4,,"Developer, desktop or enterprise applications",,,Start a free trial,Indonesia,,,,Python,Python,MySQL;SQLite,MongoDB;SQLite,AWS;VMware,AWS;Heroku,Django;Node.js,Django,.NET;Keras;NumPy;Pandas;Qt;Scikit-learn;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;Qt;Scikit-learn;TensorFlow;Torch/PyTorch,npm,,Android Studio;IntelliJ;NetBeans;Neovim;PyCharm;Qt Creator;Sublime Text;Vim;Visual Studio Code,Qt Creator;Sublime Text;Visual Studio Code,Windows,Windows,Git,Command-line,,,,,Zoom,Zoom,Indifferent,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
47961,47962,I code primarily as a hobby,"Student, full-time",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses;Interactive tutorial,,5,,,,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Indonesia,,,,C;C++;Dart;JavaScript;Rust;TypeScript,C++;Rust;TypeScript,,,,,Angular;Express;Next.js;Node.js;React.js;Svelte;Vue.js,Angular;Express;Node.js;Nuxt.js;Vue.js,,,npm;Unity 3D;Yarn,Yarn,Neovim;Visual Studio;Visual Studio Code,Neovim;Visual Studio Code,,Linux-based;Windows,Git,Code editor;Command-line,,,Trello,Trello,,,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",Under 18 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,I have an anxiety disorder,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
47962,47963,I code primarily as a hobby,"Not employed, but looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial",Udemy,3,,Student,,,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Indonesia,,,,HTML/CSS;JavaScript;PHP,Elixir;HTML/CSS;JavaScript;PHP;Python;TypeScript,MySQL,MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis,Firebase,Firebase,Laravel;Next.js;React.js;Vue.js,Laravel;Next.js;Vue.js,,,Yarn,Yarn,Sublime Text;Visual Studio Code,Visual Studio Code,,Windows,Git,Code editor;Command-line,,,,,Zoom,,Unsure,Stack Overflow;Stack Exchange,A few times per week,No,,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
