,Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,AssessJob1,AssessJob2,AssessJob3,AssessJob4,AssessJob5,AssessJob6,AssessJob7,AssessJob8,AssessJob9,AssessJob10,AssessBenefits1,AssessBenefits2,AssessBenefits3,AssessBenefits4,AssessBenefits5,AssessBenefits6,AssessBenefits7,AssessBenefits8,AssessBenefits9,AssessBenefits10,AssessBenefits11,JobContactPriorities1,JobContactPriorities2,JobContactPriorities3,JobContactPriorities4,JobContactPriorities5,JobEmailPriorities1,JobEmailPriorities2,JobEmailPriorities3,JobEmailPriorities4,JobEmailPriorities5,JobEmailPriorities6,JobEmailPriorities7,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
57526,81648,No,No,Indonesia,,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",10 to 19 employees,Full-stack developer,3-5 years,0-2 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,8.0,2.0,7.0,6.0,3.0,4.0,5.0,1.0,10.0,9.0,1.0,8.0,2.0,11.0,10.0,6.0,9.0,5.0,7.0,4.0,3.0,5.0,2.0,1.0,3.0,4.0,4.0,6.0,2.0,5.0,3.0,1.0,7.0,A friend told me about a job opportunity,,7500000,Monthly,6708.0,IDR,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,,Agree,Neither Agree nor Disagree,Disagree,Java;JavaScript;PHP;Python;SQL;HTML;CSS,Go;Java;JavaScript;PHP;Python;SQL;HTML;CSS,SQL Server;MySQL;PostgreSQL,MongoDB;SQL Server;MySQL;PostgreSQL,AWS;Linux;Windows Desktop or Server;WordPress,AWS;Linux;Windows Desktop or Server;WordPress,Node.js;Spring,Node.js;React,Eclipse;Sublime Text,Linux-based,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Scrum,Git;Subversion,Once a day,Yes,I'm not sure/I can't remember,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,1.0,4.0,2.0,3.0,5.0,7.0,6.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",7,I'm not sure,Very interested,Somewhat interested,A little bit interested,A little bit interested,Somewhat interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,25 - 34 years old,No,,The survey was too long,Somewhat easy
57542,81671,No,No,Indonesia,No,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer;QA or test developer,0-2 years,0-2 years,Moderately satisfied,Extremely satisfied,Working as an engineering manager or other functional manager,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,5.0,10.0,8.0,6.0,3.0,4.0,2.0,1.0,9.0,7.0,1.0,3.0,9.0,7.0,11.0,10.0,5.0,6.0,8.0,2.0,4.0,4.0,2.0,1.0,3.0,5.0,7.0,6.0,4.0,2.0,1.0,3.0,5.0,My job status or other personal status changed,,,Monthly,,IDR,Confluence;Jira;Slack,Less than a month,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,Less than a month,,Agree,Strongly agree,Agree,C#;Java;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,C++;Go;Python;Swift,Redis;MySQL;PostgreSQL;MariaDB,MongoDB;Elasticsearch,Windows Desktop or Server;Firebase,,Angular;Node.js;React;Spring;TensorFlow,,Eclipse;Notepad++;Sublime Text;Visual Studio Code;Xcode,MacOS,1,Agile;Kanban;Pair programming;Scrum,Git,Once a day,No,,,Strongly agree,Neither agree nor disagree,Strongly agree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,2.0,4.0,1.0,7.0,5.0,6.0,3.0,Increasing automation of jobs,Increasing automation of jobs,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, and publicly",Upper management at the company/organization,Yes,7,A few times per week,No,,"No, I knew that Stack Overflow had a jobs board but have never used or visited it",,,I'm not sure,Very interested,Very interested,Very interested,Very interested,A little bit interested,Between 5:00 - 6:00 AM,9 - 12 hours,3 - 4 hours,Never,,1 - 2 times per week,Male,Straight or heterosexual,,,18 - 24 years old,No,,The survey was an appropriate length,Very easy
57849,82089,No,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Full-stack developer,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C;C#;CoffeeScript;JavaScript;PHP;SQL;TypeScript;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,,MongoDB;MySQL,,Linux;Windows Desktop or Server,,Angular;.NET Core;Node.js,React;Cordova,Atom;Visual Studio Code,Linux-based,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57919,82188,Yes,No,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Desktop or enterprise applications developer;Front-end developer;QA or test developer,3-5 years,0-2 years,Slightly satisfied,Moderately satisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,4.0,5.0,3.0,9.0,2.0,7.0,10.0,1.0,8.0,6.0,1.0,11.0,2.0,6.0,8.0,5.0,10.0,7.0,4.0,3.0,9.0,1.0,2.0,5.0,3.0,4.0,6.0,4.0,3.0,7.0,2.0,1.0,5.0,My job status or other personal status changed,,4000000,Monthly,3576.0,IDR,"Office / productivity suite (Microsoft Office, Google Suite, etc.);Stack Overflow Enterprise",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",,,Agree,Agree,Agree,JavaScript;PHP;Ruby;SQL;HTML;CSS,JavaScript;PHP;SQL;HTML;CSS,MySQL;MariaDB,MySQL;MariaDB,Drupal;Heroku,Drupal,Angular;Node.js,Angular;Node.js,Notepad++;Sublime Text;Visual Studio Code,Windows,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies),Copying and pasting files to network shares,Less than once per month,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement,4.0,3.0,2.0,1.0,7.0,5.0,6.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,"I don't care about it, or I haven't thought about it.",No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",7,Yes,Not at all interested,Somewhat interested,Somewhat interested,Very interested,Extremely interested,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Female,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,25 - 34 years old,No,,The survey was an appropriate length,Somewhat easy
57926,82195,Yes,Yes,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",10 to 19 employees,Full-stack developer,0-2 years,0-2 years,Slightly satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,2.0,9.0,8.0,10.0,7.0,5.0,3.0,6.0,4.0,1.0,4.0,11.0,3.0,8.0,2.0,5.0,1.0,7.0,9.0,6.0,10.0,4.0,1.0,5.0,2.0,3.0,7.0,5.0,6.0,3.0,1.0,2.0,4.0,I saw an employer’s advertisement,,5000000,Monthly,4476.0,IDR,Jira,One to three months,Taken an online course in programming or software development (e.g. a MOOC),,,,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,CoffeeScript;Java;JavaScript;PHP;TypeScript;HTML;CSS,C;CoffeeScript;Go;Java;JavaScript;PHP;Ruby;TypeScript;Kotlin;HTML;CSS,MySQL;PostgreSQL;Google Cloud Storage,PostgreSQL,Linux;Firebase,Linux;Firebase,Node.js;React,Angular;Django;Node.js;React;Spring,Android Studio;Eclipse;IntelliJ;PyCharm;Sublime Text;Visual Studio Code,Windows,1,Agile;Extreme programming (XP),Team Foundation Version Control,Once a day,No,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Saw an online advertisement and then researched it (without clicking on the ad),,,,,,,,Increasing automation of jobs,Algorithms making important decisions,Nobody,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, and publicly",,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per week,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes,Somewhat interested,Very interested,Extremely interested,Somewhat interested,A little bit interested,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,,,,The survey was too long,Somewhat easy
58124,82478,No,No,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Data or business analyst;Front-end developer;Full-stack developer,3-5 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,3.0,9.0,8.0,5.0,2.0,4.0,1.0,7.0,10.0,6.0,1.0,11.0,4.0,9.0,3.0,8.0,10.0,5.0,7.0,2.0,6.0,5.0,1.0,4.0,3.0,2.0,4.0,7.0,1.0,6.0,5.0,2.0,3.0,A friend told me about a job opportunity,,,Monthly,,IDR,,Less than a month,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow,,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Agree,Agree,Agree,C#;JavaScript;PHP;VB.NET;HTML;CSS,C#;Java;JavaScript;Objective-C;PHP;Ruby;SQL;Kotlin;HTML;CSS,MySQL,MongoDB;MySQL;PostgreSQL;SQLite,,Android;Arduino;iOS;Linux;Mac OS,,Angular;Node.js;React;Xamarin;Spring,Visual Studio,Windows,1,Agile;Kanban;Lean;Scrum,Subversion,Weekly or a few times per month,I'm not sure/I don't know,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),1.0,4.0,3.0,7.0,6.0,2.0,5.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,Depends on what it is,Depends on what it is,,Unsure / I don't know,9,Multiple times per day,No,,Yes,,5,I'm not sure,Somewhat interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,Never,,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian,18 - 24 years old,No,,The survey was too long,Neither easy nor difficult
58152,82512,Yes,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Database administrator;System administrator,6-8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP;SQL;HTML;CSS,Haskell;Python;R;Ruby,Redis,Cassandra;MongoDB;PostgreSQL,Linux,Amazon Echo;Google Cloud Platform/App Engine;Google Home;Heroku;IBM Cloud or Watson;Mac OS;Firebase,Django,Node.js;React,Atom;PHPStorm;PyCharm;RStudio;RubyMine;Visual Studio Code;Zend,Linux-based,2,Agile;Scrum,Git,Once a day,No,,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Clicked on an online advertisement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58417,82910,Yes,Yes,Indonesia,"Yes, full-time",Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Student,18-20 years,3-5 years,Moderately satisfied,Extremely satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,1.0,5.0,7.0,10.0,4.0,2.0,6.0,3.0,8.0,9.0,1.0,6.0,4.0,5.0,11.0,2.0,8.0,7.0,9.0,3.0,10.0,3.0,1.0,5.0,2.0,4.0,6.0,3.0,4.0,2.0,5.0,7.0,1.0,A friend told me about a job opportunity,,,Monthly,,IDR,"Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,,,,,Strongly disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Go;PHP;Python;Rust;SQL,Python;R;Rust;SQL,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Linux,Android;Linux,Django;TensorFlow,Django;TensorFlow;Torch/PyTorch,Android Studio;Atom;IPython / Jupyter;PyCharm;RStudio;Visual Studio Code,Linux-based,1,Agile;Extreme programming (XP),Git,Multiple times per day,I'm not sure/I don't know,,,Strongly agree,Somewhat agree,Somewhat agree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,6.0,5.0,3.0,2.0,7.0,1.0,4.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Yes,8,Multiple times per day,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,Somewhat interested,A little bit interested,Very interested,Very interested,Very interested,I do not have a set schedule,9 - 12 hours,1 - 2 hours,1 - 2 times per week,Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,Male,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",East Asian;South Asian,18 - 24 years old,No,,,Somewhat easy
59459,84385,Yes,No,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator;Engineering manager;QA or test developer;System administrator,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP;HTML;CSS;Bash/Shell,Python;SQL;HTML;CSS;Bash/Shell,,SQL Server;MySQL;PostgreSQL,,,,,Notepad++;PyCharm;Sublime Text;Vim,Linux-based,1,,Git;Copying and pasting files to network shares;Zip file back-ups,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Strongly agree,Somewhat agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,1.0,4.0,2.0,3.0,6.0,5.0,7.0,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,,,,,,,8,A few times per week,No,,"No, I didn't know that Stack Overflow had a jobs board",,,I'm not sure,Very interested,Very interested,Very interested,Very interested,Very interested,Between 5:00 - 6:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,Ergonomic keyboard or mouse;Wrist/hand supports or braces,I don't typically exercise,,,,,,,,,
59570,84543,Yes,No,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",10 to 19 employees,Front-end developer,12-14 years,6-8 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,9.0,8.0,3.0,4.0,10.0,2.0,1.0,6.0,7.0,5.0,11.0,9.0,8.0,1.0,6.0,7.0,5.0,4.0,2.0,10.0,3.0,5.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,7.0,6.0,5.0,My job status or other personal status changed,,14000000,Monthly,12528.0,IDR,HipChat;Jira,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,To improve my general technical skills or programming ability;To improve my ability to work on a team with other programmers;To help me find new job opportunities,Agree,Agree,Agree,JavaScript;PHP;TypeScript;HTML;CSS,JavaScript;HTML;CSS,MongoDB;MySQL;MariaDB,MongoDB;MySQL;MariaDB,WordPress,Android,Angular;Node.js;React,Node.js,Sublime Text;Vim,Linux-based,1,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban;Scrum,Git,Multiple times per day,No,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),1.0,5.0,3.0,4.0,2.0,6.0,7.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,A few times per week,Yes,Yes,10 (Very Likely),I'm not sure,Very interested,Somewhat interested,A little bit interested,Somewhat interested,Very interested,Between 5:00 - 6:00 AM,5 - 8 hours,1 - 2 hours,Never,Fatigue-relieving floor mat,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,South Asian,25 - 34 years old,Yes,,The survey was too long,Neither easy nor difficult
59834,84928,Yes,No,Indonesia,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,20 to 99 employees,Full-stack developer,12-14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60176,85419,Yes,Yes,Indonesia,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer;QA or test developer,6-8 years,0-2 years,Extremely satisfied,Slightly satisfied,Working in a career completely unrelated to software development,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A friend told me about a job opportunity,,8000000,Monthly,7164.0,IDR,,Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",,To improve my ability to work on a team with other programmers;To win prizes or cash awards,Disagree,Strongly agree,Neither Agree nor Disagree,C++;C#;Java;JavaScript;Python;TypeScript;HTML;CSS;Bash/Shell,Go;JavaScript;Matlab;PHP;Python;Rust;Kotlin;Bash/Shell,MongoDB;MySQL;SQLite;MariaDB;Elasticsearch,MongoDB;MySQL;PostgreSQL;SQLite;MariaDB;Elasticsearch,Android;Arduino;Drupal;ESP8266;Heroku;Linux;Raspberry Pi,Android;Drupal;ESP8266;Linux;Raspberry Pi;WordPress,Angular;Django;React;Xamarin,Angular;.NET Core;Django;Node.js;React,Sublime Text,Linux-based,1,,Git,Multiple times per day,Yes,Yes,I wanted to view a specific advertisement;I wanted to support the website I was visiting by viewing their ads,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Clicked on an online advertisement;Saw an online advertisement and then researched it (without clicking on the ad),1.0,5.0,2.0,3.0,4.0,6.0,7.0,,"Artificial intelligence surpassing human intelligence (""the singularity"")",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Yes,"Yes, but only within the company",Upper management at the company/organization,No,7,Multiple times per day,Yes,A few times per week,Yes,"No, and I don't know what that is",0 (Not Likely),I'm not sure,Extremely interested,Not at all interested,Not at all interested,A little bit interested,Extremely interested,Before 5:00 AM,Over 12 hours,3 - 4 hours,Daily or almost every day,Wrist/hand supports or braces,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,18 - 24 years old,No,,The survey was too long,Somewhat easy
60184,85430,Yes,No,Indonesia,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",100 to 499 employees,,0-2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C++;PHP;SQL;Visual Basic 6;HTML,JavaScript;Python;SQL;HTML;CSS,MySQL;MariaDB,PostgreSQL;Oracle,Windows Desktop or Server,Azure;Linux,,Django;Node.js,Notepad++;Visual Studio,Windows,1,,Zip file back-ups,Less than once per month,I'm not sure/I don't know,,,,,,,,,,,,,,,,,,,,,,7,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",,I'm not sure,Somewhat interested,Very interested,Very interested,Very interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,30 - 59 minutes,1 - 2 times per week,Standing desk,I don't typically exercise,,,,,,,,,
60907,86489,Yes,No,Indonesia,No,Employed full-time,Some college/university study without earning a degree,"Information systems, information technology, or system administration",Fewer than 10 employees,Front-end developer;Mobile developer,3-5 years,0-2 years,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,7.0,2.0,9.0,10.0,3.0,1.0,4.0,6.0,8.0,5.0,5.0,3.0,2.0,11.0,1.0,7.0,9.0,8.0,4.0,6.0,10.0,1.0,2.0,3.0,4.0,5.0,1.0,3.0,5.0,2.0,4.0,7.0,6.0,My job status or other personal status changed,,3000000,Monthly,2688.0,IDR,"Other chat system (IRC, proprietary software, etc.)",,"Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",,,Agree,Agree,Agree,CoffeeScript;Clojure;Haskell;Java;JavaScript;PHP;Python;SQL;VBA;VB.NET;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,CoffeeScript;Clojure;Java;JavaScript;Lua;Objective-C;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL,MongoDB,Android;Heroku;Linux;WordPress,Heroku;Linux;Mac OS;Firebase,Django;Node.js;Cordova,Node.js;Xamarin,Android Studio;Atom;IntelliJ;Light Table;PHPStorm;PyCharm;Sublime Text;Vim;Visual Studio Code,Linux-based,1,,Git;Copying and pasting files to network shares;Zip file back-ups,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it,Strongly agree,Somewhat agree,Somewhat disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising,2.0,5.0,6.0,4.0,3.0,1.0,7.0,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, but only within the company",,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",,Yes,Very interested,Very interested,Very interested,Very interested,Somewhat interested,Between 5:00 - 6:00 AM,Over 12 hours,Less than 30 minutes,Never,Ergonomic keyboard or mouse,I don't typically exercise,Male,Straight or heterosexual;Gay or Lesbian;Bisexual or Queer,Primary/elementary school,,18 - 24 years old,No,,The survey was too long,Somewhat easy
